season,ccode,played,won,drawn,lost,scored,conceded,goal_diff,points,league_position
2006_2007,MID,38,12,10,16,44,49,-5,46,12
2006_2007,NEW,38,11,10,17,38,47,-9,43,13
2005_2006,MID,38,12,9,17,48,58,-10,45,14
2005_2006,MCI,38,13,4,21,43,48,-5,43,15
2005_2006,AVL,38,10,12,16,42,55,-13,42,16
2005_2006,POR,38,10,8,20,37,62,-25,38,17
2005_2006,BIR,38,8,10,20,28,50,-22,34,18
2005_2006,WBA,38,7,9,22,31,58,-27,30,19
2005_2006,SUN,38,3,6,29,26,69,-43,15,20
2005_2006,CHE,38,29,4,5,72,22,50,91,1
2005_2006,MUN,38,25,8,5,72,34,38,83,2
2005_2006,LIV,38,25,7,6,57,25,32,82,3
2005_2006,ARS,38,20,7,11,68,31,37,67,4
2005_2006,TOT,38,18,11,9,53,38,15,65,5
2005_2006,BLB,38,19,6,13,51,42,9,63,6
2005_2006,NEW,38,17,7,14,47,42,5,58,7
2005_2006,BOL,38,15,11,12,49,41,8,56,8
2005_2006,WHU,38,16,7,15,52,55,-3,55,9
2005_2006,WIG,38,15,6,17,45,52,-7,51,10
2005_2006,EVE,38,14,8,16,34,49,-15,50,11
2005_2006,FUL,38,14,6,18,48,58,-10,48,12
2005_2006,CHA,38,13,8,17,41,55,-14,47,13
2004_2005,MCI,38,13,13,12,47,39,8,52,8
2004_2005,TOT,38,14,10,14,47,41,6,52,9
2004_2005,AVL,38,12,11,15,45,52,-7,47,10
2004_2005,CHA,38,12,10,16,42,58,-16,46,11
2004_2005,BIR,38,11,12,15,40,46,-6,45,12
2004_2005,FUL,38,12,8,18,52,60,-8,44,13
2004_2005,NEW,38,10,14,14,47,57,-10,44,14
2004_2005,BLB,38,9,15,14,32,43,-11,42,15
2004_2005,POR,38,10,9,19,43,59,-16,39,16
2004_2005,WBA,38,6,16,16,36,61,-25,34,17
2004_2005,CRY,38,7,12,19,41,62,-21,33,18
2004_2005,NOR,38,7,12,19,42,77,-35,33,19
2004_2005,SOU,38,6,14,18,45,66,-21,32,20
2004_2005,CHE,38,29,8,1,72,15,57,95,1
2004_2005,ARS,38,25,8,5,87,36,51,83,2
2004_2005,MUN,38,22,11,5,58,26,32,77,3
2004_2005,EVE,38,18,7,13,45,46,-1,61,4
2004_2005,LIV,38,17,7,14,52,41,11,58,5
2004_2005,BOL,38,16,10,12,49,44,5,58,6
2004_2005,MID,38,14,13,11,53,46,7,55,7
2003_2004,ARS,38,26,12,0,73,26,47,90,1
2003_2004,CHE,38,24,7,7,67,30,37,79,2
2003_2004,MUN,38,23,6,9,64,35,29,75,3
2003_2004,LIV,38,16,12,10,55,37,18,60,4
2003_2004,NEW,38,13,17,8,52,40,12,56,5
2003_2004,AVL,38,15,11,12,48,44,4,56,6
2003_2004,CHA,38,14,11,13,51,51,0,53,7
2003_2004,BOL,38,14,11,13,48,56,-8,53,8
2003_2004,FUL,38,14,10,14,52,46,6,52,9
2003_2004,BIR,38,12,14,12,43,48,-5,50,10
2003_2004,MID,38,13,9,16,44,52,-8,48,11
2003_2004,SOU,38,12,11,15,44,45,-1,47,12
2003_2004,POR,38,12,9,17,47,54,-7,45,13
2003_2004,TOT,38,13,6,19,47,57,-10,45,14
2003_2004,BLB,38,12,8,18,51,59,-8,44,15
2003_2004,MCI,38,9,14,15,55,54,1,41,16
2003_2004,EVE,38,9,12,17,45,57,-12,39,17
2003_2004,LEI,38,6,15,17,48,65,-17,33,18
2003_2004,WOL,38,7,12,19,38,77,-39,33,19
2003_2004,LEE,38,8,9,21,40,79,-39,33,20
2002_2003,FUL,38,13,9,16,41,50,-9,48,14
2002_2003,LEE,38,14,5,19,58,57,1,47,15
2002_2003,AVL,38,12,9,17,42,47,-5,45,16
2002_2003,BOL,38,10,14,14,41,51,-10,44,17
2002_2003,WHU,38,10,12,16,42,59,-17,42,18
2002_2003,WBA,38,6,8,24,29,65,-36,26,19
2002_2003,SUN,38,4,7,27,21,65,-44,19,20
2002_2003,MUN,38,25,8,5,74,34,40,83,1
2002_2003,ARS,38,23,9,6,85,42,43,78,2
2002_2003,NEW,38,21,6,11,63,48,15,69,3
2002_2003,CHE,38,19,10,9,68,38,30,67,4
2002_2003,LIV,38,18,10,10,61,41,20,64,5
2002_2003,BLB,38,16,12,10,52,43,9,60,6
2002_2003,EVE,38,17,8,13,48,49,-1,59,7
2002_2003,SOU,38,13,13,12,43,46,-3,52,8
2002_2003,MCI,38,15,6,17,47,54,-7,51,9
2002_2003,TOT,38,14,8,16,51,62,-11,50,10
2002_2003,MID,38,13,10,15,48,44,4,49,11
2002_2003,CHA,38,14,7,17,45,56,-11,49,12
2002_2003,BIR,38,13,9,16,41,49,-8,48,13
2001_2002,ARS,38,26,9,3,79,36,43,87,1
2001_2002,LIV,38,24,8,6,67,30,37,80,2
2001_2002,MUN,38,24,5,9,87,45,42,77,3
2001_2002,NEW,38,21,8,9,74,52,22,71,4
2001_2002,LEE,38,18,12,8,53,37,16,66,5
2001_2002,CHE,38,17,13,8,66,38,28,64,6
2001_2002,WHU,38,15,8,15,48,57,-9,53,7
2001_2002,AVL,38,12,14,12,46,47,-1,50,8
2001_2002,TOT,38,14,8,16,49,53,-4,50,9
2001_2002,BLB,38,12,10,16,55,51,4,46,10
2001_2002,SOU,38,12,9,17,46,54,-8,45,11
2001_2002,MID,38,12,9,17,35,47,-12,45,12
2001_2002,FUL,38,10,14,14,36,44,-8,44,13
2001_2002,CHA,38,10,14,14,38,49,-11,44,14
2001_2002,EVE,38,11,10,17,45,57,-12,43,15
2001_2002,BOL,38,9,13,16,44,62,-18,40,16
2001_2002,SUN,38,10,10,18,29,51,-22,40,17
2001_2002,IPS,38,9,9,20,41,64,-23,36,18
2001_2002,DER,38,8,6,24,33,63,-30,30,19
2001_2002,LEI,38,5,13,20,30,64,-34,28,20
2000_2001,TOT,38,13,10,15,47,54,-7,49,12
2000_2001,LEI,38,14,6,18,39,51,-12,48,13
2000_2001,MID,38,9,15,14,44,44,0,42,14
2000_2001,WHU,38,10,12,16,45,50,-5,42,15
2000_2001,EVE,38,11,9,18,45,59,-14,42,16
2000_2001,DER,38,10,12,16,37,59,-22,42,17
2000_2001,MCI,38,8,10,20,41,65,-24,34,18
2000_2001,COV,38,8,10,20,36,63,-27,34,19
2000_2001,BRA,38,5,11,22,30,70,-40,26,20
2000_2001,MUN,38,24,8,6,79,31,48,80,1
2000_2001,ARS,38,20,10,8,63,38,25,70,2
2000_2001,LIV,38,20,9,9,71,39,32,69,3
2000_2001,LEE,38,20,8,10,64,43,21,68,4
2000_2001,IPS,38,20,6,12,57,42,15,66,5
2000_2001,CHE,38,17,10,11,68,45,23,61,6
2000_2001,SUN,38,15,12,11,46,41,5,57,7
2000_2001,AVL,38,13,15,10,46,43,3,54,8
2000_2001,CHA,38,14,10,14,50,57,-7,52,9
2000_2001,SOU,38,14,10,14,40,48,-8,52,10
2000_2001,NEW,38,14,9,15,44,50,-6,51,11
1999_2000,MUN,38,28,7,3,97,45,52,91,1
1999_2000,ARS,38,22,7,9,73,43,30,73,2
1999_2000,LEE,38,21,6,11,58,43,15,69,3
1999_2000,LIV,38,19,10,9,51,30,21,67,4
1999_2000,CHE,38,18,11,9,53,34,19,65,5
1999_2000,AVL,38,15,13,10,46,35,11,58,6
1999_2000,SUN,38,16,10,12,57,56,1,58,7
1999_2000,LEI,38,16,7,15,55,55,0,55,8
